hpix,l,b,"ASAS[11,13]","Gaia[11,13]","ASAS[13,15]","Gaia[13,15]","ASAS[15,17]","Gaia[15,17]"
0,45.0,78.28414760510762,1.0,1.0,1.0,0.6944444444444444,0.45989304812834225,0.9052631578947369
1,135.0,78.28414760510762,1.0,0.8333333333333333,0.95,0.95,0.9206349206349206,0.9508196721311475
2,225.0,78.28414760510762,1.0,1.0,0.9473684210526316,0.9473684210526316,0.8783783783783784,0.8227848101265823
3,315.0,78.28414760510762,1.0,1.0,0.9565217391304348,0.7857142857142857,0.791304347826087,0.8921568627450981
4,22.5,66.44353569089877,1.0,1.0,0.9375,0.8571428571428571,0.8974358974358974,0.8433734939759036
5,67.5,66.44353569089877,1.2,1.0,1.0,0.8823529411764706,0.8955223880597015,0.9375
6,112.5,66.44353569089877,1.0,1.0,0.9090909090909091,0.8333333333333333,0.903225806451613,0.903225806451613
7,157.5,66.44353569089877,1.0,0.5,0.9375,0.7894736842105263,0.8627450980392157,0.8461538461538461
8,202.5,66.44353569089877,1.0,1.0,1.0,0.6923076923076923,0.8135593220338982,0.7384615384615384
9,247.49999999999997,66.44353569089877,1.0,0.8571428571428571,0.9375,0.8823529411764706,0.9315068493150684,0.8831168831168832
10,292.5,66.44353569089877,1.0,1.0,0.9285714285714286,0.8387096774193549,0.8992248062015504,0.8854961832061069
11,337.5,66.44353569089877,1.0,0.5,1.0357142857142856,0.8285714285714286,0.9008264462809917,0.8515625
12,14.999999999999998,54.340912303861245,0.8,0.5714285714285715,0.8636363636363636,0.7037037037037037,0.8571428571428571,0.8571428571428571
13,45.0,54.340912303861245,0.5714285714285715,0.8,0.9666666666666667,0.9354838709677419,0.8873239436619719,0.7974683544303798
14,75.0,54.340912303861245,1.0,0.8333333333333333,0.823529411764706,0.7777777777777777,0.8969072164948453,0.8787878787878788
15,105.0,54.340912303861245,1.0,1.0,0.8947368421052632,0.8095238095238095,0.82,0.8723404255319148
