hpix,l,b,"ASAS[11,13]","Gaia[11,13]","ASAS[13,15]","Gaia[13,15]","ASAS[15,17]","Gaia[15,17]"
0,45.0,78.28414760510762,0.5,0.5,1.0,0.6153846153846154,0.24074074074074073,0.65
1,135.0,78.28414760510762,,,0.8888888888888888,0.8888888888888888,0.8,0.75
2,225.0,78.28414760510762,1.0,0.25,1.0,0.8181818181818181,0.5142857142857143,0.75
3,315.0,78.28414760510762,,0.0,1.0,0.6,0.4310344827586207,0.78125
4,22.5,66.44353569089877,1.0,0.16666666666666669,1.0,0.28571428571428575,0.7142857142857143,0.5357142857142857
5,67.5,66.44353569089877,,0.0,1.0,0.7777777777777777,0.782608695652174,0.8571428571428571
6,112.5,66.44353569089877,,0.0,1.0,1.0,0.4615384615384615,0.6
7,157.5,66.44353569089877,1.0,0.33333333333333337,0.6666666666666667,0.4444444444444444,0.6875,0.7333333333333333
8,202.5,66.44353569089877,,0.0,,0.0,0.7142857142857143,0.22727272727272727
9,247.49999999999997,66.44353569089877,1.0,0.25,1.0,0.41666666666666663,0.75,0.631578947368421
10,292.5,66.44353569089877,,,0.923076923076923,0.6666666666666667,0.6511627906976745,0.875
11,337.5,66.44353569089877,,0.0,0.8571428571428571,0.3,0.6153846153846154,0.5714285714285715
12,14.999999999999998,54.340912303861245,1.0,0.5,1.0,0.375,0.826086956521739,0.5428571428571428
13,45.0,54.340912303861245,0.0,0.0,1.0,0.75,0.6785714285714286,0.7916666666666667
14,75.0,54.340912303861245,1.0,0.33333333333333337,0.9166666666666667,0.7333333333333333,0.65,0.8666666666666667
15,105.0,54.340912303861245,1.0,1.0,1.0,0.6666666666666667,0.45,0.75
16,135.0,54.340912303861245,,0.0,0.8,0.8,0.5384615384615384,0.7777777777777777
17,165.0,54.340912303861245,1.0,0.33333333333333337,1.0,0.33333333333333337,0.625,0.625
18,195.0,54.340912303861245,1.0,1.0,1.0,0.33333333333333337,0.5555555555555556,0.7142857142857143
19,224.99999999999997,54.340912303861245,,,,0.0,0.875,0.411764705882353
20,255.00000000000003,54.340912303861245,,0.0,0.8,0.26666666666666666,0.6666666666666667,0.6428571428571429
21,285.0,54.340912303861245,1.0,0.5,0.875,0.5,0.6222222222222222,0.8484848484848484
22,315.0,54.340912303861245,,0.0,0.8571428571428571,0.375,0.5,0.5
23,344.99999999999994,54.340912303861245,1.0,0.33333333333333337,1.0,0.1724137931034483,0.6086956521739131,0.48275862068965514
24,11.25,41.81031489577859,,0.0,0.8846153846153847,0.44230769230769235,0.5576923076923077,0.763157894736842
25,33.75,41.81031489577859,1.0,0.7142857142857143,0.9583333333333333,0.7419354838709676,0.6851851851851852,0.7708333333333333
26,56.24999999999999,41.81031489577859,0.75,0.75,0.7727272727272727,0.7391304347826088,0.6,0.8
27,78.75,41.81031489577859,1.0,0.75,0.625,0.3846153846153846,0.6666666666666667,0.7333333333333333
28,101.24999999999999,41.81031489577859,1.0,0.6666666666666667,0.7272727272727273,0.7272727272727273,0.2692307692307692,0.7
29,123.74999999999999,41.81031489577859,1.0,0.5,1.0,0.8,0.10526315789473685,0.6666666666666667
30,146.25,41.81031489577859,,0.0,0.8333333333333333,0.7142857142857143,0.33333333333333337,1.0
31,168.74999999999997,41.81031489577859,1.0,0.6666666666666667,1.0,0.28571428571428575,0.6363636363636364,0.7777777777777777
32,191.25,41.81031489577859,1.0,0.25,1.0,0.6923076923076923,0.625,0.8333333333333333
33,213.75,41.81031489577859,,0.0,1.0,0.6666666666666667,0.9285714285714286,0.7647058823529411
34,236.25,41.81031489577859,,0.0,0.6666666666666667,0.15384615384615385,0.6923076923076923,0.34615384615384615
35,258.75,41.81031489577859,,0.0,0.75,0.2727272727272727,0.6538461538461539,0.68
36,281.24999999999994,41.81031489577859,1.0,0.5,0.9285714285714286,0.6842105263157895,0.38,0.826086956521739
37,303.75,41.81031489577859,1.0,0.33333333333333337,1.0,0.24,0.43548387096774194,0.6585365853658537
38,326.24999999999994,41.81031489577859,1.0,0.33333333333333337,1.0,0.14285714285714288,0.6,0.4067796610169491
39,348.74999999999994,41.81031489577859,,0.0,1.0,0.16129032258064516,0.657142857142857,0.5897435897435898
40,0.0,30.000000000000007,1.0,0.33333333333333337,0.8275862068965517,0.5853658536585367,0.3448275862068966,0.7692307692307692
41,22.5,30.000000000000007,1.0,0.6,0.9666666666666667,0.5471698113207547,0.54375,0.87
42,45.0,30.000000000000007,1.0,0.75,0.9473684210526316,0.6428571428571429,0.6091954022988506,0.7910447761194029
43,67.5,30.000000000000007,1.0,0.4,0.8421052631578948,0.5517241379310345,0.5862068965517241,0.7083333333333333
44,90.0,30.000000000000007,,,0.7692307692307692,0.625,0.4444444444444444,0.8
45,112.49999999999999,30.000000000000007,,0.0,0.6,0.75,0.07142857142857144,1.0
