hpix,l,b,"ASAS[13,16]","PS1[13,16]","Gaia[13,16]","ASAS[16,18]","PS1[16,18]","Gaia[16,18]","ASAS[18,22]","PS1[18,22]","Gaia[18,22]","ASAS_full","PS1_full","Gaia_full"
0,45.0,87.07581964294997,1.0,0.5,1.0,0.5,1.0,0.6666666666666667,0.0,0.5,1.0,1.0,0.6,0.8888888888888888
1,135.0,87.07581964294997,1.0,0.8333333333333333,1.0,0.2,1.0,0.8333333333333333,0.0,1.0,0.4,1.0,0.923076923076923,0.7647058823529411
2,225.0,87.07581964294997,0.5,1.0,0.6666666666666667,0.4,0.8,1.0,0.0,0.6666666666666667,0.6666666666666667,0.75,0.75,0.9166666666666667
3,315.0,87.07581964294997,0.6666666666666667,1.0,1.0,0.625,1.0,1.0,0.0,0.6666666666666667,1.0,0.8571428571428571,0.9285714285714286,1.0
4,22.5,84.14973293629666,0.6666666666666667,1.0,1.0,0.4,1.0,1.0,0.0,0.6666666666666667,1.0,0.8333333333333333,0.9090909090909091,1.0
5,67.5,84.14973293629666,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.6666666666666667,1.0,1.0,0.8,1.0
6,112.5,84.14973293629666,1.0,0.8571428571428571,1.0,0.2,1.0,1.0,0.0,0.0,,1.0,0.8461538461538461,1.0
7,157.5,84.14973293629666,1.0,1.0,1.0,0.2222222222222222,0.8888888888888888,0.8,0.0,0.6666666666666667,0.5,0.6,0.923076923076923,0.8
8,202.5,84.14973293629666,1.0,1.0,1.0,0.42857142857142855,0.8571428571428571,1.0,,,,0.8,0.875,1.0
9,247.49999999999997,84.14973293629666,1.0,1.0,1.0,0.4,0.8,1.0,0.0,1.0,1.0,1.0,0.9444444444444444,1.0
10,292.5,84.14973293629666,1.0,1.0,1.0,0.2,1.0,1.0,0.0,0.8333333333333333,0.8333333333333333,1.0,0.923076923076923,0.923076923076923
11,337.5,84.14973293629666,1.0,1.0,1.0,0.6666666666666667,1.0,1.0,0.0,1.0,1.0,1.0,0.9090909090909091,1.0
12,14.999999999999998,81.21982231598935,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.75,0.75,1.0,0.7272727272727273,0.9
13,45.0,81.21982231598935,1.0,0.8333333333333333,1.0,0.6666666666666667,1.0,1.0,0.0,0.75,1.0,1.0,0.8461538461538461,1.0
14,75.0,81.21982231598935,1.0,0.6666666666666667,1.0,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.75,1.0
15,105.0,81.21982231598935,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,1.0,0.9090909090909091,0.9090909090909091
16,135.0,81.21982231598935,0.75,0.75,1.0,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.9,1.0
17,165.0,81.21982231598935,0.5,1.0,1.0,0.42857142857142855,0.8571428571428571,0.875,0.0,1.0,1.0,0.8571428571428571,0.8333333333333333,0.923076923076923
18,195.0,81.21982231598935,1.0,1.0,1.0,0.75,1.0,0.6666666666666667,0.0,0.33333333333333337,0.5,1.0,0.923076923076923,0.8571428571428571
19,224.99999999999997,81.21982231598935,1.0,1.0,0.6666666666666667,0.33333333333333337,0.8333333333333333,0.7142857142857143,0.0,0.6666666666666667,0.4,0.8,0.9090909090909091,0.6666666666666667
20,255.00000000000003,81.21982231598935,1.0,0.8,1.0,0.8,1.0,0.8333333333333333,0.0,0.8333333333333333,0.8333333333333333,1.0,0.9375,0.9411764705882354
21,285.0,81.21982231598935,1.0,1.0,1.0,0.5714285714285715,1.0,0.875,0.0,0.8333333333333333,1.0,1.0,0.9090909090909091,0.9523809523809524
22,315.0,81.21982231598935,1.0,1.0,1.0,0.5384615384615384,0.923076923076923,1.0,0.0,0.625,1.0,1.0,0.8181818181818181,1.0
23,344.99999999999994,81.21982231598935,1.0,0.33333333333333337,0.6,0.5454545454545454,0.7272727272727273,0.8,0.0,0.5555555555555556,1.0,0.9090909090909091,0.75,1.0
24,11.25,78.28414760510762,1.0,1.0,1.0,0.5,0.9166666666666667,1.0,0.0,1.0,0.75,1.0,0.9473684210526316,0.95
25,33.75,78.28414760510762,0.3135593220338983,0.4915254237288136,0.9242424242424242,0.5,1.0,1.0,0.0,0.0,,0.33057851239669417,0.512,0.9305555555555556
26,56.25,78.28414760510762,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
27,78.75,78.28414760510762,1.0,1.0,1.0,0.45454545454545453,1.0,1.0,0.0,0.75,0.6,1.0,0.9375,0.8823529411764706
28,101.25,78.28414760510762,1.0,1.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
29,123.74999999999999,78.28414760510762,1.0,1.0,1.0,0.33333333333333337,0.8333333333333333,1.0,0.0,0.5,1.0,1.0,0.8,1.0
30,146.25,78.28414760510762,1.0,1.0,0.75,0.33333333333333337,0.6666666666666667,1.0,,,,1.0,0.8571428571428571,1.0
31,168.75,78.28414760510762,1.0,0.5,1.0,0.75,1.0,0.8,0.0,1.0,1.0,1.0,0.8571428571428571,0.875
32,191.25,78.28414760510762,1.0,1.0,0.6666666666666667,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,0.8571428571428571,0.75,0.8333333333333333,0.875,0.7777777777777777
33,213.75,78.28414760510762,1.0,1.0,1.0,0.33333333333333337,1.0,0.75,0.0,0.5,0.25,1.0,0.875,0.6363636363636364
34,236.25,78.28414760510762,0.6666666666666667,1.0,0.75,0.42857142857142855,0.8571428571428571,0.8125,0.0,0.5833333333333334,0.7777777777777777,1.0,0.8275862068965517,0.8620689655172414
35,258.75,78.28414760510762,1.0,1.0,1.0,0.2727272727272727,0.8181818181818181,1.0,0.0,0.875,0.875,0.6,0.85,0.9444444444444444
36,281.25,78.28414760510762,1.0,1.0,1.0,0.5555555555555556,0.8888888888888888,0.8888888888888888,0.0,0.5454545454545454,0.8571428571428571,1.0,0.7727272727272727,0.9444444444444444
37,303.75,78.28414760510762,1.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.0,0.875,1.0,1.0,0.9285714285714286,1.0
38,326.25,78.28414760510762,1.0,1.0,0.8333333333333333,0.35135135135135137,0.6756756756756757,0.9285714285714286,0.0,0.9166666666666667,0.9166666666666667,0.5945945945945946,0.7592592592592592,0.9347826086956522
39,348.75,78.28414760510762,1.0,0.6666666666666667,0.75,0.3,0.8,0.8,0.0,0.625,0.7142857142857143,1.0,0.8571428571428571,0.9047619047619048
40,9.0,75.34073424154306,1.0,1.0,1.0,0.33333333333333337,1.0,0.6666666666666667,0.0,0.5,1.0,0.8,0.8571428571428571,0.8571428571428571
