hpix,l,b,"ASAS[13,16]","PS1[13,16]","Gaia[13,16]","ASAS[16,18]","PS1[16,18]","Gaia[16,18]","ASAS[18,22]","PS1[18,22]","Gaia[18,22]","ASAS_full","PS1_full","Gaia_full"
0,45.0,87.07581964294997,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,,,0.0,1.0,1.0,0.28571428571428575
1,135.0,87.07581964294997,1.0,1.0,0.6666666666666667,,,,0.0,1.0,1.0,1.0,1.0,0.8
2,225.0,87.07581964294997,1.0,0.75,1.0,,,,0.0,0.0,0.0,1.0,0.5,0.8333333333333333
3,315.0,87.07581964294997,0.5,0.0,0.5,0.0,1.0,1.0,,,,0.5,0.6666666666666667,0.8333333333333333
4,22.5,84.14973293629666,1.0,1.0,0.5,0.0,0.6666666666666667,0.6666666666666667,0.0,1.0,1.0,0.5,0.8,0.6666666666666667
5,67.5,84.14973293629666,1.0,1.0,0.5,,,0.0,,,,1.0,1.0,0.25
6,112.5,84.14973293629666,1.0,1.0,0.5,,,,0.0,1.0,1.0,1.0,1.0,0.8
7,157.5,84.14973293629666,1.0,1.0,1.0,0.0,1.0,0.5,,,0.0,1.0,1.0,0.5
8,202.5,84.14973293629666,,,,,,0.0,,,,,,0.0
9,247.49999999999997,84.14973293629666,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.75
10,292.5,84.14973293629666,1.0,0.0,0.5,0.25,0.75,1.0,,,,0.5,0.6,1.0
11,337.5,84.14973293629666,,,0.0,0.33333333333333337,0.33333333333333337,0.6666666666666667,,,,1.0,0.33333333333333337,0.5
12,14.999999999999998,81.21982231598935,1.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,,1.0,0.4,0.6666666666666667
13,45.0,81.21982231598935,,,,0.0,1.0,1.0,,,0.0,0.0,0.5,0.5
14,75.0,81.21982231598935,1.0,0.0,1.0,0.0,1.0,1.0,,,,0.5,0.6666666666666667,1.0
15,105.0,81.21982231598935,,,,,,,,,,,,
16,135.0,81.21982231598935,1.0,0.5,1.0,1.0,0.0,1.0,,,0.0,1.0,0.33333333333333337,0.75
17,165.0,81.21982231598935,1.0,1.0,1.0,,,,0.0,0.0,,1.0,0.6666666666666667,1.0
18,195.0,81.21982231598935,1.0,1.0,0.5,0.33333333333333337,1.0,1.0,,,0.0,1.0,1.0,0.5714285714285715
19,224.99999999999997,81.21982231598935,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.75
20,255.00000000000003,81.21982231598935,1.0,0.5,0.6666666666666667,0.0,0.0,,0.0,1.0,0.75,1.0,0.6666666666666667,0.625
21,285.0,81.21982231598935,1.0,0.6,0.8333333333333333,0.33333333333333337,0.8333333333333333,1.0,0.0,1.0,0.8,1.0,0.8666666666666667,0.8823529411764706
22,315.0,81.21982231598935,1.0,1.0,1.0,0.5,0.75,0.75,0.0,0.5,1.0,1.0,0.7,0.875
23,344.99999999999994,81.21982231598935,0.5,0.75,1.0,0.33333333333333337,0.6666666666666667,1.0,,,,0.6,0.7142857142857143,1.0
24,11.25,78.28414760510762,,,,0.33333333333333337,0.33333333333333337,0.6666666666666667,0.0,0.0,,1.0,0.2,0.6666666666666667
25,33.75,78.28414760510762,0.03225806451612903,0.25806451612903225,1.0,0.5,1.0,1.0,,,,0.0625,0.30303030303030304,1.0
26,56.25,78.28414760510762,0.0,0.0,,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.6,1.0
27,78.75,78.28414760510762,1.0,0.6666666666666667,1.0,0.5,1.0,1.0,,,,0.75,0.8,1.0
28,101.25,78.28414760510762,1.0,1.0,1.0,0.6666666666666667,0.6666666666666667,1.0,0.0,0.0,,0.75,0.6,1.0
29,123.74999999999999,78.28414760510762,0.0,1.0,1.0,0.33333333333333337,1.0,1.0,0.0,0.5,1.0,0.5,0.8333333333333333,1.0
30,146.25,78.28414760510762,0.5,1.0,1.0,1.0,1.0,1.0,,,,0.6666666666666667,1.0,1.0
31,168.75,78.28414760510762,1.0,0.0,0.5,0.0,0.0,,,,0.0,1.0,0.0,0.33333333333333337
32,191.25,78.28414760510762,1.0,0.0,1.0,0.5,0.75,1.0,0.0,1.0,1.0,0.6,0.6666666666666667,1.0
33,213.75,78.28414760510762,1.0,1.0,1.0,0.33333333333333337,0.6666666666666667,0.75,,,0.0,0.6666666666666667,0.75,0.6666666666666667
34,236.25,78.28414760510762,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.5,0.25,0.8,0.7142857142857143,0.6666666666666667
35,258.75,78.28414760510762,,,,0.07142857142857144,0.28571428571428575,1.0,0.0,0.5,1.0,0.1111111111111111,0.3125,1.0
36,281.25,78.28414760510762,1.0,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.5,0.0,0.0,,0.75,0.5714285714285715,0.8
37,303.75,78.28414760510762,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,1.0,0.75,0.75
38,326.25,78.28414760510762,1.0,1.0,0.25,0.07142857142857144,0.6428571428571429,0.9,0.0,1.0,1.0,0.28,0.6875,0.8518518518518519
39,348.75,78.28414760510762,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.7777777777777777,0.5,0.8888888888888888,0.8
40,9.0,75.34073424154306,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.33333333333333337,0.5,1.0,0.5714285714285715,0.8
41,27.0,75.34073424154306,1.0,1.0,1.0,0.0,1.0,0.33333333333333337,0.0,0.6666666666666667,0.4,1.0,1.0,0.5555555555555556
42,45.0,75.34073424154306,1.0,0.5,1.0,0.0,0.4,0.6666666666666667,0.0,1.0,1.0,0.5,0.45454545454545453,0.8888888888888888
43,63.0,75.34073424154306,1.0,0.0,1.0,,,,0.0,1.0,1.0,1.0,0.6666666666666667,1.0
44,81.0,75.34073424154306,,,0.0,,,,0.0,0.0,,,0.0,0.0
45,98.99999999999999,75.34073424154306,,,,,,,0.0,1.0,1.0,,1.0,1.0
46,117.0,75.34073424154306,,,0.0,,,0.0,0.0,0.0,0.0,,1.0,0.33333333333333337
47,135.0,75.34073424154306,,,,0.0,1.0,1.0,0.0,1.0,1.0,,1.0,1.0
48,153.0,75.34073424154306,,,,0.5,0.5,1.0,0.0,1.0,0.6666666666666667,1.0,0.75,0.75
49,171.0,75.34073424154306,1.0,1.0,0.33333333333333337,1.0,1.0,1.0,0.0,1.0,0.6666666666666667,1.0,1.0,0.5714285714285715
50,189.0,75.34073424154306,,,,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,1.0
51,207.0,75.34073424154306,,,,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.6666666666666667
52,225.0,75.34073424154306,0.0,0.0,,0.0,1.0,0.6666666666666667,0.0,1.0,0.33333333333333337,0.0,0.75,0.5
53,243.0,75.34073424154306,0.5,1.0,0.6666666666666667,,,,,,,0.5,1.0,0.6666666666666667
54,261.0,75.34073424154306,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.6666666666666667,0.75,0.7777777777777777,0.7
55,279.0,75.34073424154306,,,,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.25,0.6666666666666667
56,297.0,75.34073424154306,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.875,0.7,0.0,0.9166666666666667,0.7857142857142857
57,315.0,75.34073424154306,1.0,0.33333333333333337,1.0,0.0,1.0,0.5,0.0,0.3,1.0,1.0,0.42857142857142855,1.0
58,333.0,75.34073424154306,0.0,0.0,,0.0,0.6666666666666667,1.0,0.0,1.0,0.8571428571428571,0.0,0.8,0.8888888888888888
59,351.0,75.34073424154306,1.0,0.33333333333333337,1.0,0.33333333333333337,0.6666666666666667,0.5,0.0,0.5,1.0,1.0,0.5,0.7142857142857143
60,7.499999999999999,72.38756092964962,1.0,1.0,1.0,0.33333333333333337,0.6666666666666667,1.0,0.0,0.0,0.0,0.6666666666666667,0.6,0.75
61,22.5,72.38756092964962,1.0,1.0,0.33333333333333337,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.75,0.5714285714285715
62,37.5,72.38756092964962,1.0,1.0,0.5,,,0.0,0.0,0.6666666666666667,0.6666666666666667,1.0,0.75,0.5
63,52.5,72.38756092964962,,,,0.6666666666666667,0.6666666666666667,1.0,,,,1.0,0.6666666666666667,1.0
64,67.5,72.38756092964962,,,,0.0,1.0,1.0,,,0.0,,1.0,0.33333333333333337
65,82.5,72.38756092964962,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.75,1.0,1.0,0.7142857142857143,1.0
66,97.5,72.38756092964962,,,,,,0.0,0.0,0.0,,,0.0,0.0
67,112.49999999999999,72.38756092964962,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,1.0,0.33333333333333337,1.0
68,127.50000000000001,72.38756092964962,1.0,0.0,0.33333333333333337,,,,0.0,1.0,1.0,1.0,0.5,0.5
69,142.5,72.38756092964962,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666667,0.33333333333333337,0.6666666666666667
70,157.5,72.38756092964962,1.0,0.5,1.0,,,,0.0,0.0,,1.0,0.25,1.0
71,172.49999999999997,72.38756092964962,,,,0.0,0.5,1.0,0.0,1.0,1.0,,0.75,1.0
72,187.50000000000003,72.38756092964962,,,,,,,,,0.0,,,0.0
73,202.5,72.38756092964962,,,0.0,0.0,1.0,0.6666666666666667,,,0.0,,1.0,0.2222222222222222
74,217.5,72.38756092964962,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.6666666666666667,0.5,0.6
75,232.5,72.38756092964962,,,,0.0,1.0,0.5,,,,0.0,1.0,0.5
76,247.50000000000003,72.38756092964962,1.0,1.0,0.5,0.33333333333333337,0.6666666666666667,0.75,0.0,0.33333333333333337,0.5,0.6666666666666667,0.5714285714285715,0.625
77,262.5,72.38756092964962,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.6,1.0,1.0,0.6666666666666667
