hpix,l,b,D_o,D_f,C,eC
0.0,45.0,78.28414760510762,1.1709667246,6.183803008,0.9666666666666667,0.2517347222183908
0.0,45.0,78.28414760510762,6.183803008,9.25637100479,0.7666666666666667,0.21248093596402512
0.0,45.0,78.28414760510762,9.25637100479,10.0869924947,0.23333333333333334,0.0979417816490623
0.0,45.0,78.28414760510762,10.0869924947,13.6133040955,0.7666666666666667,0.21248093596402512
0.0,45.0,78.28414760510762,13.6133040955,15.9722965178,0.43333333333333335,0.14388781638381934
0.0,45.0,78.28414760510762,15.9722965178,17.7200333069,0.23333333333333334,0.0979417816490623
0.0,45.0,78.28414760510762,17.7200333069,23.0814618506,0.13333333333333333,0.07097208632298362
0.0,45.0,78.28414760510762,23.0814618506,34.4919595707,0.0,0.0
0.0,45.0,78.28414760510762,34.4919595707,48.8833066744,0.0,0.0
0.0,45.0,78.28414760510762,48.8833066744,112.214495854,0.0,0.0
1.0,135.0,78.28414760510762,1.54547343535,7.27098344297,0.8666666666666667,0.23221956404645566
1.0,135.0,78.28414760510762,7.27098344297,12.2014931667,0.9333333333333333,0.24525119397904704
1.0,135.0,78.28414760510762,12.2014931667,17.5677002402,0.6666666666666666,0.19245008972987526
1.0,135.0,78.28414760510762,17.5677002402,21.6957599038,0.16666666666666666,0.08050764858994133
1.0,135.0,78.28414760510762,21.6957599038,43.3350802107,0.0,0.0
1.0,135.0,78.28414760510762,43.3350802107,106.10671376,0.0,0.0
2.0,225.0,78.28414760510762,0.863965326134,7.17085040995,0.9333333333333333,0.24525119397904704
2.0,225.0,78.28414760510762,7.17085040995,11.4563730963,0.9333333333333333,0.24525119397904704
2.0,225.0,78.28414760510762,11.4563730963,15.4545171897,0.7666666666666667,0.21248093596402512
2.0,225.0,78.28414760510762,15.4545171897,18.2651046486,0.3333333333333333,0.12171612389003691
2.0,225.0,78.28414760510762,18.2651046486,21.3914925395,0.03333333333333333,0.03388433484883757
2.0,225.0,78.28414760510762,21.3914925395,28.7118245247,0.0,0.0
2.0,225.0,78.28414760510762,28.7118245247,36.554924144,0.0,0.0
2.0,225.0,78.28414760510762,36.554924144,104.053199995,0.0,0.0
3.0,315.0,78.28414760510762,0.863965326134,6.68025239973,0.9,0.23874672772626648
3.0,315.0,78.28414760510762,6.68025239973,8.62528433355,0.9,0.23874672772626648
3.0,315.0,78.28414760510762,8.62528433355,9.79514705496,0.4,0.13662601021279464
3.0,315.0,78.28414760510762,9.79514705496,11.6410576033,0.5,0.15811388300841897
3.0,315.0,78.28414760510762,11.6410576033,14.2919876074,0.7333333333333333,0.20584064314505618
3.0,315.0,78.28414760510762,14.2919876074,16.5570346017,0.4666666666666667,0.15104573749303493
3.0,315.0,78.28414760510762,16.5570346017,17.5242403535,0.3,0.11401754250991378
3.0,315.0,78.28414760510762,17.5242403535,20.2332181628,0.1,0.06055300708194983
3.0,315.0,78.28414760510762,20.2332181628,24.2788475245,0.0,0.0
3.0,315.0,78.28414760510762,24.2788475245,31.14589901,0.0,0.0
3.0,315.0,78.28414760510762,31.14589901,35.1304342547,0.0,0.0
3.0,315.0,78.28414760510762,35.1304342547,38.3796083198,0.0,0.0
3.0,315.0,78.28414760510762,38.3796083198,41.6719500581,0.0,0.0
3.0,315.0,78.28414760510762,41.6719500581,44.6952829205,0.0,0.0
3.0,315.0,78.28414760510762,44.6952829205,48.4979806108,0.0,0.0
3.0,315.0,78.28414760510762,48.4979806108,108.838420887,0.0,0.0
4.0,22.5,66.44353569089877,1.37516608011,7.22433497284,0.9666666666666667,0.2517347222183908
4.0,22.5,66.44353569089877,7.22433497284,9.67895969389,0.5333333333333333,0.16510378329783743
4.0,22.5,66.44353569089877,9.67895969389,11.4230169944,0.36666666666666664,0.12924280909862532
4.0,22.5,66.44353569089877,11.4230169944,14.0930292973,0.7,0.19916492328386207
4.0,22.5,66.44353569089877,14.0930292973,19.2677431278,0.26666666666666666,0.10610965676722954
4.0,22.5,66.44353569089877,19.2677431278,26.684121768,0.0,0.0
4.0,22.5,66.44353569089877,26.684121768,42.632550967,0.0,0.0
4.0,22.5,66.44353569089877,42.632550967,50.331283326,0.0,0.0
4.0,22.5,66.44353569089877,50.331283326,112.214495854,0.0,0.0
5.0,67.5,66.44353569089877,1.1709667246,6.25332137518,0.9,0.23874672772626648
5.0,67.5,66.44353569089877,6.25332137518,9.26281802746,0.7,0.19916492328386207
5.0,67.5,66.44353569089877,9.26281802746,10.1206983318,0.26666666666666666,0.10610965676722954
5.0,67.5,66.44353569089877,10.1206983318,14.0542029928,0.6,0.17888543819998315
5.0,67.5,66.44353569089877,14.0542029928,17.7200333069,0.4,0.13662601021279464
5.0,67.5,66.44353569089877,17.7200333069,23.7277188609,0.13333333333333333,0.07097208632298362
5.0,67.5,66.44353569089877,23.7277188609,37.0320934807,0.0,0.0
5.0,67.5,66.44353569089877,37.0320934807,112.214495854,0.0,0.0
6.0,112.5,66.44353569089877,1.05930246904,8.10288554166,0.8666666666666667,0.23221956404645566
6.0,112.5,66.44353569089877,8.10288554166,12.5323890114,0.7666666666666667,0.21248093596402512
6.0,112.5,66.44353569089877,12.5323890114,18.2730864269,0.5666666666666667,0.1720249766533703
6.0,112.5,66.44353569089877,18.2730864269,28.9937993766,0.06666666666666667,0.04868644955601477
6.0,112.5,66.44353569089877,28.9937993766,58.9777068336,0.0,0.0
6.0,112.5,66.44353569089877,58.9777068336,105.238134906,0.0,0.0
7.0,157.5,66.44353569089877,1.30615318236,8.61715928063,0.9,0.23874672772626648
7.0,157.5,66.44353569089877,8.61715928063,14.0781438335,0.8333333333333334,0.22566773346211003
7.0,157.5,66.44353569089877,14.0781438335,22.3896222447,0.26666666666666666,0.10610965676722954
7.0,157.5,66.44353569089877,22.3896222447,44.2821591811,0.0,0.0
7.0,157.5,66.44353569089877,44.2821591811,106.217585403,0.0,0.0
8.0,202.5,66.44353569089877,1.54547343535,11.3454449728,0.9333333333333333,0.24525119397904704
8.0,202.5,66.44353569089877,11.3454449728,18.4812849778,0.5333333333333333,0.16510378329783743
8.0,202.5,66.44353569089877,18.4812849778,29.6103971565,0.0,0.0
8.0,202.5,66.44353569089877,29.6103971565,86.5864181891,0.0,0.0
9.0,247.49999999999997,66.44353569089877,0.863965326134,8.60183723387,0.9,0.23874672772626648
9.0,247.49999999999997,66.44353569089877,8.60183723387,12.6299477195,0.9333333333333333,0.24525119397904704
9.0,247.49999999999997,66.44353569089877,12.6299477195,15.8392019086,0.5,0.15811388300841897
9.0,247.49999999999997,66.44353569089877,15.8392019086,19.6787134939,0.26666666666666666,0.10610965676722954
9.0,247.49999999999997,66.44353569089877,19.6787134939,24.6578485008,0.0,0.0
9.0,247.49999999999997,66.44353569089877,24.6578485008,32.3347071999,0.0,0.0
9.0,247.49999999999997,66.44353569089877,32.3347071999,42.2847889103,0.0,0.0
9.0,247.49999999999997,66.44353569089877,42.2847889103,88.553222524,0.0,0.0
10.0,292.5,66.44353569089877,0.863965326134,6.71649404775,0.9,0.23874672772626648
10.0,292.5,66.44353569089877,6.71649404775,8.8833210147,0.8333333333333334,0.22566773346211003
10.0,292.5,66.44353569089877,8.8833210147,11.1204366939,0.9,0.23874672772626648
10.0,292.5,66.44353569089877,11.1204366939,13.793543475,0.6,0.17888543819998315
10.0,292.5,66.44353569089877,13.793543475,15.6785895346,0.4666666666666667,0.15104573749303493
10.0,292.5,66.44353569089877,15.6785895346,18.1694751326,0.3,0.11401754250991378
10.0,292.5,66.44353569089877,18.1694751326,20.4406683474,0.1,0.06055300708194983
10.0,292.5,66.44353569089877,20.4406683474,23.5566083096,0.0,0.0
10.0,292.5,66.44353569089877,23.5566083096,28.9572538909,0.0,0.0
10.0,292.5,66.44353569089877,28.9572538909,33.8533759881,0.0,0.0
10.0,292.5,66.44353569089877,33.8533759881,37.2279464838,0.0,0.0
10.0,292.5,66.44353569089877,37.2279464838,40.965672678,0.0,0.0
10.0,292.5,66.44353569089877,40.965672678,44.3748690225,0.0,0.0
10.0,292.5,66.44353569089877,44.3748690225,48.839810111,0.0,0.0
10.0,292.5,66.44353569089877,48.839810111,108.838420887,0.0,0.0
11.0,337.5,66.44353569089877,2.63402604999,7.80747729162,0.9,0.23874672772626648
11.0,337.5,66.44353569089877,7.80747729162,10.6715196063,0.8666666666666667,0.23221956404645566
11.0,337.5,66.44353569089877,10.6715196063,13.793543475,0.5333333333333333,0.16510378329783743
11.0,337.5,66.44353569089877,13.793543475,16.4863452925,0.5666666666666667,0.1720249766533703
11.0,337.5,66.44353569089877,16.4863452925,18.4891471925,0.23333333333333334,0.0979417816490623
