hpix,l,b,D_o,D_f,C,eC
0.0,45.0,78.28414760510762,1.2743009298233738,5.118551594888072,0.62,0.14173214173221257
0.0,45.0,78.28414760510762,5.118551594888072,7.150638123439035,0.82,0.17276573734395367
0.0,45.0,78.28414760510762,7.150638123439035,9.172383534710187,0.8,0.16970562748477142
0.0,45.0,78.28414760510762,9.172383534710187,10.42662266195142,0.86,0.17886307612249097
0.0,45.0,78.28414760510762,10.42662266195142,10.99155355220284,0.9,0.1849324200890693
0.0,45.0,78.28414760510762,10.99155355220284,12.88964442625002,0.94,0.19097643833729855
0.0,45.0,78.28414760510762,12.88964442625002,15.0776381711758,0.94,0.19097643833729855
0.0,45.0,78.28414760510762,15.0776381711758,16.76704542956337,0.94,0.19097643833729855
0.0,45.0,78.28414760510762,16.76704542956337,18.673669172496247,0.92,0.18795744199153172
0.0,45.0,78.28414760510762,18.673669172496247,20.93133483388325,0.96,0.19398969044771425
0.0,45.0,78.28414760510762,20.93133483388325,23.83385909780824,0.94,0.19097643833729855
0.0,45.0,78.28414760510762,23.83385909780824,28.04316595216767,0.98,0.19699746191258402
0.0,45.0,78.28414760510762,28.04316595216767,35.525670196428976,0.96,0.19398969044771425
0.0,45.0,78.28414760510762,35.525670196428976,43.87201868843932,0.96,0.19398969044771425
0.0,45.0,78.28414760510762,43.87201868843932,55.58405451932511,0.98,0.19699746191258402
0.0,45.0,78.28414760510762,55.58405451932511,101.95747011274176,0.9047619047619048,0.14323457321862818
1.0,135.0,78.28414760510762,1.3722005845578258,5.9161840060809325,0.62,0.14173214173221257
1.0,135.0,78.28414760510762,5.9161840060809325,8.617608248712251,0.92,0.18795744199153172
1.0,135.0,78.28414760510762,8.617608248712251,10.78668481535418,0.9,0.1849324200890693
1.0,135.0,78.28414760510762,10.78668481535418,13.027690342776216,0.92,0.18795744199153172
1.0,135.0,78.28414760510762,13.027690342776216,15.272482928840564,0.94,0.19097643833729855
1.0,135.0,78.28414760510762,15.272482928840564,17.957974097303712,0.88,0.18190107201443315
1.0,135.0,78.28414760510762,17.957974097303712,21.18868887911844,0.96,0.19398969044771425
1.0,135.0,78.28414760510762,21.18868887911844,24.77342371132351,0.96,0.19398969044771425
1.0,135.0,78.28414760510762,24.77342371132351,31.95346100267832,0.98,0.19699746191258402
1.0,135.0,78.28414760510762,31.95346100267832,46.16182969395503,0.96,0.19398969044771425
1.0,135.0,78.28414760510762,46.16182969395503,128.26088997845758,0.8333333333333334,0.13028932666176196
2.0,225.0,78.28414760510762,0.7041461352901078,5.405020384565958,0.58,0.13538094400616357
2.0,225.0,78.28414760510762,5.405020384565958,8.226812466724178,0.88,0.18190107201443315
2.0,225.0,78.28414760510762,8.226812466724178,10.880883467423711,0.84,0.17581808780668728
2.0,225.0,78.28414760510762,10.880883467423711,13.11870802346316,0.78,0.16663733075154558
