hpix,l,b,D_o,D_f,C,eC
0.0,45.0,84.14973293629666,1.375909914202061,10.228169931464093,0.62,0.14173214173221257
0.0,45.0,84.14973293629666,10.228169931464093,10.640167239086464,0.84,0.17581808780668728
0.0,45.0,84.14973293629666,10.640167239086464,16.887834551435258,0.92,0.18795744199153172
0.0,45.0,84.14973293629666,16.887834551435258,92.76031628193005,0.84375,0.12729820888125254
1.0,135.0,84.14973293629666,1.5572014519974242,12.098784525410624,0.68,0.1511555490215295
1.0,135.0,84.14973293629666,12.098784525410624,21.5785736115392,0.88,0.18190107201443315
1.0,135.0,84.14973293629666,21.5785736115392,92.76031628193005,0.8059701492537313,0.14739317055918755
2.0,225.0,84.14973293629666,1.5572014519974242,12.12854977190049,0.76,0.16356038640208698
2.0,225.0,84.14973293629666,12.12854977190049,19.174891735841904,0.86,0.17886307612249097
2.0,225.0,84.14973293629666,19.174891735841904,29.86940901158295,0.84,0.17581808780668728
2.0,225.0,84.14973293629666,29.86940901158295,99.10701329943558,0.7528089887640449,0.12176281799622532
3.0,315.0,84.14973293629666,1.375909914202061,12.037343046834646,0.72,0.15737852458324803
3.0,315.0,84.14973293629666,12.037343046834646,16.951557986620518,0.84,0.17581808780668728
3.0,315.0,84.14973293629666,16.951557986620518,22.177463507069167,0.86,0.17886307612249097
3.0,315.0,84.14973293629666,22.177463507069167,35.525670196428976,0.86,0.17886307612249097
3.0,315.0,84.14973293629666,35.525670196428976,95.19566110367428,0.8904109589041096,0.1518489982935303
4.0,22.5,78.28414760510762,1.2743009298233738,10.03122752302952,0.64,0.14488616221019868
4.0,22.5,78.28414760510762,10.03122752302952,10.594702775733095,0.78,0.16663733075154558
4.0,22.5,78.28414760510762,10.594702775733095,15.64941292982449,0.88,0.18190107201443315
4.0,22.5,78.28414760510762,15.64941292982449,23.459017443092165,0.82,0.17276573734395367
4.0,22.5,78.28414760510762,23.459017443092165,101.3252970880456,0.8970588235294118,0.1581963298266069
5.0,67.5,78.28414760510762,1.5847253311849203,10.360596662194345,0.66,0.14802702455970665
5.0,67.5,78.28414760510762,10.360596662194345,10.688553870990042,0.82,0.17276573734395367
5.0,67.5,78.28414760510762,10.688553870990042,16.61884994780389,0.9,0.1849324200890693
5.0,67.5,78.28414760510762,16.61884994780389,101.3252970880456,0.9010989010989011,0.13720435271106807
6.0,112.5,78.28414760510762,1.7596147751169722,12.430178376602662,0.74,0.1604742970073401
6.0,112.5,78.28414760510762,12.430178376602662,22.4696647224906,0.9,0.1849324200890693
6.0,112.5,78.28414760510762,22.4696647224906,105.34262047233004,0.8596491228070176,0.16747064352066657
7.0,157.5,78.28414760510762,1.3722005845578258,13.361211254960534,0.8,0.16970562748477142
7.0,157.5,78.28414760510762,13.361211254960534,23.14009655524564,0.84,0.17581808780668728
7.0,157.5,78.28414760510762,23.14009655524564,105.34262047233004,0.7647058823529411,0.1626665643396977
8.0,202.5,78.28414760510762,0.7041461352901078,13.471223870560545,0.78,0.16663733075154558
8.0,202.5,78.28414760510762,13.471223870560545,21.04006198424001,0.76,0.16356038640208698
8.0,202.5,78.28414760510762,21.04006198424001,32.97888809861288,0.72,0.15737852458324803
8.0,202.5,78.28414760510762,32.97888809861288,99.10701329943558,0.6862745098039216,0.1506357255630046
9.0,247.49999999999997,78.28414760510762,1.5997554559476213,13.11216380495084,0.7,0.15427248620541512
9.0,247.49999999999997,78.28414760510762,13.11216380495084,18.90436617059485,0.78,0.16663733075154558
9.0,247.49999999999997,78.28414760510762,18.90436617059485,27.863018075745835,0.82,0.17276573734395367
9.0,247.49999999999997,78.28414760510762,27.863018075745835,34.66111143309456,0.7,0.15427248620541512
9.0,247.49999999999997,78.28414760510762,34.66111143309456,99.10701329943558,0.6707317073170732,0.11690170618408699
10.0,292.5,78.28414760510762,3.128037853703157,11.655557698455388,0.74,0.1604742970073401
10.0,292.5,78.28414760510762,11.655557698455388,18.24782179775456,0.84,0.17581808780668728
10.0,292.5,78.28414760510762,18.24782179775456,22.8076998714276,0.84,0.17581808780668728
10.0,292.5,78.28414760510762,22.8076998714276,32.70415865927242,0.84,0.17581808780668728
10.0,292.5,78.28414760510762,32.70415865927242,38.30996878104871,0.88,0.18190107201443315
