hpix,l,b,D_o,D_f,C,eC
0.0,45.0,78.28414760510762,1.2743009298233738,5.118551594888072,1.0,0.3777886144941101
0.0,45.0,78.28414760510762,5.118551594888072,7.150638123439035,0.9992592592592592,0.3809474314573767
0.0,45.0,78.28414760510762,7.150638123439035,9.172383534710187,0.9724999999999999,0.29424795340579024
0.0,45.0,78.28414760510762,9.172383534710187,10.42662266195142,0.9823529411764705,0.28938434171888666
0.0,45.0,78.28414760510762,10.42662266195142,10.99155355220284,1.0,0.48539365043722366
0.0,45.0,78.28414760510762,10.99155355220284,12.88964442625002,0.9991489361702128,0.3935659063571882
0.0,45.0,78.28414760510762,12.88964442625002,15.0776381711758,0.9954285714285714,0.34460408124589675
0.0,45.0,78.28414760510762,15.0776381711758,16.76704542956337,1.0,0.36823939143690637
0.0,45.0,78.28414760510762,16.76704542956337,18.673669172496247,0.9985185185185186,0.37475392339877045
0.0,45.0,78.28414760510762,18.673669172496247,20.93133483388325,0.9979999999999999,0.3765897502588194
0.0,45.0,78.28414760510762,20.93133483388325,23.83385909780824,1.0,0.39505778390077984
0.0,45.0,78.28414760510762,23.83385909780824,28.04316595216767,1.0,0.38640551731210376
0.0,45.0,78.28414760510762,28.04316595216767,35.525670196428976,0.9966666666666668,0.3514568803785638
0.0,45.0,78.28414760510762,35.525670196428976,43.87201868843932,0.9964912280701753,0.35354981389596357
0.0,45.0,78.28414760510762,43.87201868843932,55.58405451932511,0.9973076923076923,0.3670808888521311
0.0,45.0,78.28414760510762,55.58405451932511,101.95747011274176,0.9716553287981861,0.25161747586732947
1.0,135.0,78.28414760510762,1.3722005845578258,5.9161840060809325,1.0,0.3810345016249466
1.0,135.0,78.28414760510762,5.9161840060809325,8.617608248712251,1.0,0.37616003933086894
1.0,135.0,78.28414760510762,8.617608248712251,10.78668481535418,1.0,0.3793865556348712
1.0,135.0,78.28414760510762,10.78668481535418,13.027690342776216,0.999,0.37019736627912414
1.0,135.0,78.28414760510762,13.027690342776216,15.272482928840564,0.9999999999999999,0.4177840033118983
1.0,135.0,78.28414760510762,15.272482928840564,17.957974097303712,0.9995454545454545,0.40456783012348085
1.0,135.0,78.28414760510762,17.957974097303712,21.18868887911844,1.0,0.36353066990007676
1.0,135.0,78.28414760510762,21.18868887911844,24.77342371132351,1.0,0.4334409460671817
1.0,135.0,78.28414760510762,24.77342371132351,31.95346100267832,0.9981132075471698,0.3726866948024134
1.0,135.0,78.28414760510762,31.95346100267832,46.16182969395503,0.9979591836734695,0.37795974269759663
1.0,135.0,78.28414760510762,46.16182969395503,128.26088997845758,0.9578544061302682,0.2394468819665817
2.0,225.0,78.28414760510762,0.7041461352901078,5.405020384565958,0.9981132075471699,0.37099483492563223
2.0,225.0,78.28414760510762,5.405020384565958,8.226812466724178,0.9971929824561403,0.36494909781244644
2.0,225.0,78.28414760510762,8.226812466724178,10.880883467423711,0.9977777777777777,0.3734552957778136
2.0,225.0,78.28414760510762,10.880883467423711,13.11870802346316,0.9955555555555556,0.34267248103361775
2.0,225.0,78.28414760510762,13.11870802346316,15.11112713860692,0.9986666666666668,0.36888062775220953
2.0,225.0,78.28414760510762,15.11112713860692,16.63343659318555,0.9974193548387098,0.41855647839379656
2.0,225.0,78.28414760510762,16.63343659318555,18.90436617059485,0.9932075471698113,0.3610001710186564
2.0,225.0,78.28414760510762,18.90436617059485,21.302348777291343,0.997878787878788,0.3541527617711229
2.0,225.0,78.28414760510762,21.302348777291343,23.42745081089926,0.9956097560975609,0.3932973508421599
2.0,225.0,78.28414760510762,23.42745081089926,27.13760755093542,0.9915492957746479,0.33509778604217544
2.0,225.0,78.28414760510762,27.13760755093542,29.86940901158295,0.9907692307692306,0.3581228425509608
2.0,225.0,78.28414760510762,29.86940901158295,32.069496277516805,0.9936842105263158,0.39591528566514855
2.0,225.0,78.28414760510762,32.069496277516805,34.85302288489208,0.9940425531914894,0.3708900142181709
2.0,225.0,78.28414760510762,34.85302288489208,37.92573520673348,0.9926829268292682,0.38247971260978275
2.0,225.0,78.28414760510762,37.92573520673348,42.69583839915247,0.9783783783783784,0.35614402209364904
2.0,225.0,78.28414760510762,42.69583839915247,54.88108118323057,0.9954098360655739,0.3540302040663899
2.0,225.0,78.28414760510762,54.88108118323057,99.10701329943558,0.8860958366064413,0.21393212397935843
3.0,315.0,78.28414760510762,1.251748846891688,5.498794872905091,0.9999999999999999,0.3676349257027836
3.0,315.0,78.28414760510762,5.498794872905091,7.263977645691787,0.9992307692307694,0.3843938606782064
3.0,315.0,78.28414760510762,7.263977645691787,9.113099517447962,0.9942592592592592,0.3101777965428991
3.0,315.0,78.28414760510762,9.113099517447962,10.302314622587692,0.9657142857142859,0.27826055226522267
3.0,315.0,78.28414760510762,10.302314622587692,10.594702775733095,1.0,0.5887840577551899
3.0,315.0,78.28414760510762,10.594702775733095,11.964943012009735,1.0,0.3724659508191806
3.0,315.0,78.28414760510762,11.964943012009735,13.332652344047368,1.0,0.38827268768225254
3.0,315.0,78.28414760510762,13.332652344047368,14.548887248318207,0.9979591836734695,0.37795974269759663
3.0,315.0,78.28414760510762,14.548887248318207,16.103311192334598,0.998108108108108,0.34822495145657356
3.0,315.0,78.28414760510762,16.103311192334598,17.415395630064022,1.0,0.35418558797761956
3.0,315.0,78.28414760510762,17.415395630064022,18.466070727508995,0.9961538461538461,0.3698118410619693
3.0,315.0,78.28414760510762,18.466070727508995,19.823257543309268,0.9999999999999999,0.3646146646590254
3.0,315.0,78.28414760510762,19.823257543309268,21.248794507004067,1.0,0.3795115356022736
3.0,315.0,78.28414760510762,21.248794507004067,22.993961690004223,1.0,0.38493765421910353
3.0,315.0,78.28414760510762,22.993961690004223,25.18416673644449,0.9991836734693877,0.38984254831694815
3.0,315.0,78.28414760510762,25.18416673644449,27.515182733525023,1.0,0.39611147026436894
3.0,315.0,78.28414760510762,27.515182733525023,30.592718137672925,0.9978947368421054,0.36495616002309983
3.0,315.0,78.28414760510762,30.592718137672925,34.698868802059586,1.0,0.3511429528917888
3.0,315.0,78.28414760510762,34.698868802059586,37.350967232917846,0.9980645161290324,0.3346934318696266
3.0,315.0,78.28414760510762,37.350967232917846,39.48287007182033,0.9964912280701753,0.35354981389596357
3.0,315.0,78.28414760510762,39.48287007182033,41.31195999729328,1.0,0.3938748182839975
3.0,315.0,78.28414760510762,41.31195999729328,43.05450450992906,0.9999999999999999,0.4007509912969151
3.0,315.0,78.28414760510762,43.05450450992906,45.57990183962336,1.0,0.36440431385575656
3.0,315.0,78.28414760510762,45.57990183962336,47.44280827176949,0.9958823529411763,0.38989842589763124
3.0,315.0,78.28414760510762,47.44280827176949,49.95737461671542,0.9933333333333334,0.3747631685772308
3.0,315.0,78.28414760510762,49.95737461671542,54.59311002219368,0.9942857142857144,0.3977732096693989
3.0,315.0,78.28414760510762,54.59311002219368,62.91212614047089,0.998421052631579,0.4077862686215632
3.0,315.0,78.28414760510762,62.91212614047089,99.10701329943558,0.8850241545893721,0.22429114022716296
4.0,22.5,66.44353569089877,1.2743009298233738,5.009401162383928,0.9966101694915255,0.35815771742192853
4.0,22.5,66.44353569089877,5.009401162383928,6.775919961868689,0.999344262295082,0.37175425542478546
4.0,22.5,66.44353569089877,6.775919961868689,8.22473810839726,0.9872340425531914,0.36061967279610535
4.0,22.5,66.44353569089877,8.22473810839726,9.756982780559303,0.9576470588235295,0.2709382284152883
4.0,22.5,66.44353569089877,9.756982780559303,10.455729919759827,0.9930612244897958,0.3365404640958255
4.0,22.5,66.44353569089877,10.455729919759827,11.060250565208502,0.9942857142857142,0.4765177333640979
4.0,22.5,66.44353569089877,11.060250565208502,12.689857719043976,1.0,0.39603009986615917
4.0,22.5,66.44353569089877,12.689857719043976,14.675839438381509,0.9964179104477612,0.3515557569973659
4.0,22.5,66.44353569089877,14.675839438381509,15.998152100157364,0.9987499999999999,0.3881517924187019
